advertiser_id,name,name_de,category,source_category,description,type,custom_type,latitude,longitude,street_address,postal_code,city,price_chf,opening_hours,num_photos,source,data_source,raw_categories,budget_tier,base_bid,bid_amount,target_segments,weather_preference,quality_score,advertiser_idx
ZH_1012365,Mama Shelter,Mama Shelter,Accommodation,hotels,"A fresh hotspot in Zurich’s Oerlikon district: designer rooms, a rooftop garden, a delicious menu, and event spaces. ",Hotel,Hotel,47.410819,8.543954,Schulstrasse 44,8050,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.69889628523367,"Luxury Leisure, Business Traveler",any,0.7,0
ZH_1011732,The Home Hotel,The Home Hotel,Accommodation,hotels,"This urban hideaway in Sihlcity, with Dada-style design and creative flair, is ideally located as as a departure point for a variety of leisure activities.",Hotel,Hotel,47.359163,8.523016,Kalandergasse 1,8045,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,7.081714335383799,"Luxury Leisure, Business Traveler",any,0.7,1
ZH_1011468,Mandarin Oriental Savoy,Mandarin Oriental Savoy,Accommodation,hotels,This 5-star hotel on Paradeplatz blends modern design with timeless elegance.,Hotel,Hotel,47.369733,8.539786,Poststrasse 12,8001,Zürich,,,4,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.556785460347372,"Luxury Leisure, Business Traveler",any,0.7,2
ZH_1011431,Locke am Platz,Locke am Platz,Accommodation,hotels,"This hotel with a difference is located in Zurich’s Enge quarter, surrounded by idyllic parks, green recreational areas, magnificent villas, and the cool blue waters of Lake Zurich.",LodgingBusiness,LodgingBusiness,47.363861,8.532296,Tessinerplatz 9,8002,Zürich,,,3,real_zurich,Zurich Tourism JSON,"Hotels, Apartments",medium,6.0,6.2367803620728886,"Luxury Leisure, Business Traveler",any,0.7,3
ZH_1011414,Prize by Radisson Affoltern am Albis,Prize by Radisson Affoltern am Albis,Accommodation,hotels,"A total of 102 comfortable rooms, a prime location, and numerous amenities are just some of the highlights on offer at this hotel.",Hotel,Hotel,47.274583,8.444066,Obstgartenstrasse 7,8910,Affoltern am Albis,,,7,real_zurich,Zurich Tourism JSON,"Accommodation, Hotels",medium,6.0,5.174444737061848,"Luxury Leisure, Business Traveler",any,0.7,4
ZH_1010777,Pension Kafischnaps,Pension Kafischnaps,Accommodation,hotels,"The Pension Kafischnaps is located in the heart of Zurich, between the Wipkingen and Unterstrass quarters and just a few minutes from Langstrasse.",Hotel,Hotel,47.391184,8.535999,Kornhausstrasse 57,8037,Zürich,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.174386848806886,"Luxury Leisure, Business Traveler",any,0.7,5
ZH_1010771,Alma Hotel,Alma Hotel,Accommodation,hotels,"Originally launched under the name of Lady's First, the Alma Hotel now sports a new design yet still upholds its old values.",Hotel,Hotel,47.360394,8.549921,Mainaustrasse 24,8008,Zurich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.939400669203678,"Luxury Leisure, Business Traveler",any,0.7,6
ZH_1010707,FIVE Zurich,FIVE Zürich,Accommodation,hotels,"Situated high above Zurich, with a view over the city, the lifestyle hotel invites guests to enjoy an unforgettable stay with a unique concept.",Hotel,Hotel,47.36309,8.495577,Döltschiweg 234,8055,Zürich,,,14,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.878822749859845,"Luxury Leisure, Business Traveler",any,0.7,7
ZH_1010679,MOOI Apartments Schlieren,MOOI Apartments Schlieren,Accommodation,hotels,For a temporary home away from home or if you want to feel at home even when you are on a city trip – the serviced apartments in Schlieren meet all your needs.,Hotel,Hotel,47.397527,8.464688,Zürcherstrasse 133,8952,Schlieren,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.2426760281837,"Luxury Leisure, Business Traveler",any,0.7,8
ZH_1010613,Hotel Jakob Rapperswil,Hotel Jakob Rapperswil,Accommodation,hotels,This hotel in the Old Town of Rapperswil has been welcoming guests since 1830.,Hotel,Hotel,47.226851,8.816503,Hauptplatz 11,8640,Rapperswil,,,5,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.49937418671051,"Luxury Leisure, Business Traveler",any,0.7,9
ZH_1010560,Josephine's Guesthouse for Women,Josephine's Guesthouse for Women,Accommodation,hotels,The guesthouse for women in the heart of Zurich.,Hotel,Hotel,47.374304,8.529021,Lutherstrasse 20,8004,Zürich,,,0,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.849402786309926,"Luxury Leisure, Business Traveler",any,0.5,10
ZH_1010556,Meininger Hotel Zürich Greencity ,Meininger Hotel Zürich Greencity ,Accommodation,hotels,The innovative hotel in the sustainable Greencity district of Zurich.,Hotel,Hotel,47.341802,8.520194,Maneggstrasse 41,8041,Zürich,,,13,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,7.127783645188787,"Luxury Leisure, Business Traveler",any,0.7,11
ZH_1010502,Hotel Arvenbüel,Hotel Arvenbüel,Accommodation,hotels,"This family-run hotel, now managed by the third generation, welcomes its guests in Amden, on a sunny high plateau.",Hotel,Hotel,47.146805,9.167821,Arvenbüelstrasse 47,8873,Amden,,,11,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.797862337921012,"Luxury Leisure, Business Traveler",any,0.7,12
ZH_1010327,B&B Johannisburg,B&B Johannisburg,Experiences,hotels,"This charming Bed & Breakfast is located in the village of Altendorf, on the upper part of Lake Zurich.",BedAndBreakfast,BedAndBreakfast,47.184101,8.836953,Burgweg 22,8852,Altendorf,,,7,real_zurich,Zurich Tourism JSON,B&Bs,medium,4.0,3.5397425770852418,"Luxury Leisure, Family/Group",sunny,0.7,13
ZH_1010304,Camping Grüene Aff,Camping Grüene Aff,Experiences,hotels,"The campsite “Grüene Aff” is located on the shores of Switzerland’s biggest artificial lake, the Sihlsee.",Campground,Campground,47.139291,8.792104,Sulzelstrasse 10,8846,Willerzell,,,0,real_zurich,Zurich Tourism JSON,Campsites,medium,4.0,3.4909199475313613,"Luxury Leisure, Family/Group",sunny,0.5,14
ZH_1010014,Radisson Hotel & Suites Zurich,Radisson Hotel & Suites Zurich,Accommodation,hotels,"Located between the city and the countryside, experience the best of everything in the modern and fully equipped apartments and hotel rooms for temporary living.",Hotel,Hotel,47.422028,8.55835,Thurgauerstrasse 116,8152,Opfikon,,,7,real_zurich,Zurich Tourism JSON,"Hotels, Apartments",medium,6.0,5.240170823648241,"Luxury Leisure, Business Traveler",any,0.7,15
ZH_1001304,Aparthotel Adagio Zurich City Center,Aparthotel Adagio Zurich City Center,Accommodation,hotels,"Located not far from Paradeplatz and Lake Zurich, the cozy apartments treat long and short-term guests to the highest level of comfort in the heart of the city.",Hotel,Hotel,47.381202,8.542499,Stampfenbachstrasse 60,8006,Zürich,,,4,real_zurich,Zurich Tourism JSON,"Hotels, Apartments",medium,6.0,5.5301813831028905,"Luxury Leisure, Business Traveler",any,0.7,16
ZH_1001301,Ibis Styles Zurich,Ibis Styles Zurich,Accommodation,hotels,"Situated in the close vicinity of the Main Train Station and the Swiss National Museum, this modern hotel welcomes guests from near and far.",Hotel,Hotel,47.381202,8.542499,Stampfenbachstrasse 60,8006,Zürich,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.059415435917371,"Luxury Leisure, Business Traveler",any,0.7,17
ZH_1001295,Ruby Hotel Mimi,Ruby Hotel Mimi,Accommodation,hotels,One of the city’s first movie theaters now houses a unique hotel that pays tribute to the movie world of yesteryear with loving details and stylish decor.,Hotel,Hotel,47.376168,8.54138,Beatenplatz 4,8001,Zürich,,,5,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.836668044741078,"Luxury Leisure, Business Traveler",any,0.7,18
ZH_1001231,Intercity Hotel Zürich Airport,Intercity Hotel Zürich Airport,Accommodation,hotels,"Modern design, comfortable rooms, close to the airport and the city: the ideal hotel for arriving and departing travelers, as well as for guests visiting Zurich on business or for pleasure.",Hotel,Hotel,47.451816,8.539123,Flughofstrasse 63,8153,Rümlang,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.4989499364753005,"Luxury Leisure, Business Traveler",any,0.7,19
ZH_1001191,Hotel Engel in Wädenswil,Hotel Engel in Wädenswil,Accommodation,hotels,A pearl on the picturesque lakeshore in charming Wädenswil: the Engel is an ideal starting point for a tour of discovery around the lake.,LodgingBusiness,LodgingBusiness,47.230057,8.67456,Engelstrasse 2,8820,Wädenswil,,,4,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.268446947333711,"Luxury Leisure, Business Traveler",any,0.7,20
ZH_1001124,Guesthouse Zollhaus,Guesthouse Zollhaus ,Accommodation,hotels,A sustainable guesthouse with charm and a partiality for stylish furnishings: Guesthouse Zollhaus is a lucky strike – for Zurich and visitors alike.,Hotel,Hotel,47.38163,8.529384,Zollstrasse 121,8005,Zürich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.134785265564901,"Luxury Leisure, Business Traveler",any,0.7,21
ZH_1001123,Guesthouse Kalkbreite,Guesthouse Kalkbreite,Accommodation,hotels,"A wonderful view, an in-house movie theater, innovative architecture, and bustling streets: Kalkbreite is Zurich in condensed form. And right in the middle is the Guesthouse Kalkbreite.",Hotel,Hotel,47.374465,8.520588,Kalkbreitestrasse 6,8003,Zürich,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.501147156484524,"Luxury Leisure, Business Traveler",any,0.7,22
ZH_1001119,Moxy Rapperswil,Moxy Rapperswil,Accommodation,hotels,"There is a new hotspot in picturesque Rapperswil: the lifestyle hotel has a relaxed, modern, and cool atmosphere, and is ideally suited for both business trips and short breaks.",Hotel,Hotel,47.22758,8.82508,Neue Jonastrasse 66,8640,Rapperswil,,,18,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.67926842390486,"Luxury Leisure, Business Traveler",any,0.7,23
ZH_1001106,Hotel Restaurant Schiff Pfäffikon,Hotel Restaurant Schiff Pfäffikon,Accommodation,hotels,"This cozy hotel is located in Pfäffikon, directly on Lake Zurich, and has its own boat moorings and an idyllic terrace.",Hotel,Hotel,47.2055751,8.7734323,Unterdorfstrasse 21,8808,Pfäffikon,,,3,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.894567962120886,"Luxury Leisure, Business Traveler",any,0.7,24
ZH_1001007,Leonardo Hotel Zurich Airport,Leonardo Hotel Zurich Airport,Accommodation,hotels,The Leonardo Hotel Zurich Airport is located in the immediate vicinity of Zurich Airport and only 15 minutes from the city center.,Hotel,Hotel,47.4532291,8.5784532,Flughafenstrasse 11,8302,Kloten,,,10,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.684422307343231,"Luxury Leisure, Business Traveler",any,0.7,25
ZH_1001002,Hotel Neufeld,Hotel Neufeld,Accommodation,hotels,"This cozy, friendly hotel is situated at Goldbrunnenplatz, in the lively and popular quarter of Wiedikon.",Hotel,Hotel,47.369591,8.513688,Friesenbergstrasse 15,8055,Zürich,,,0,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.279217077180063,"Luxury Leisure, Business Traveler",any,0.5,26
ZH_1000997,Gasthof zur Sonne,Gasthof zur Sonne,Accommodation,hotels,The family-run guesthouse is located directly opposite the beautiful harbor in Stäfa.,Hotel,Hotel,47.2395028,8.7180861,Seestrasse 37,8712,Stäfa,,,2,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.034162652192668,"Luxury Leisure, Business Traveler",any,0.7,27
ZH_1000994,Hotel LO! im Kreuz,Hotel LO! im Kreuz,Accommodation,hotels,"This charming hotel, with its urban restaurant and bar, is located in the heart of Jona.",Hotel,Hotel,47.2298468,8.8365313,St. Gallerstrasse 30,8645,Rapperswil-Jona,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.221794965268902,"Luxury Leisure, Business Traveler",any,0.7,28
ZH_1000992,Landgasthof Leuen,Landgasthof Leuen,Accommodation,hotels,This cozy country guesthouse is situated at the foot of the beautiful Uetliberg and just a few minutes from the city center.,Hotel,Hotel,47.3637492,8.4600332,Birmensdorferstrasse 56,8142,Uitikon,,,4,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.911480990527995,"Luxury Leisure, Business Traveler",any,0.7,29
ZH_1000991,Hyatt Regency Zurich Airport The Circle,Hyatt Regency Zurich Airport The Circle,Accommodation,hotels,"Situated within walking distance of the airport and just minutes from the city center, the Hyatt Regency Zurich Airport The Circle has everything that travelers need.",Hotel,Hotel,47.45052,8.5630658,The Circle 41,8058,Zürich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.258107644563452,"Luxury Leisure, Business Traveler",any,0.7,30
ZH_1000990,Hotel Drei Könige Einsiedeln,Hotel Drei Könige Einsiedeln,Accommodation,hotels,Top-level comfort and hospitality: the Hübscher family welcomes guests directly on Klosterplatz.,Hotel,Hotel,47.1279934,8.7501847,Paracelsuspark 1,8840,Einsiedeln,,,12,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.2092578968495,"Luxury Leisure, Business Traveler",any,0.7,31
ZH_556879,Tailormade Hotel Sihlpark Schindellegi,Tailormade Hotel Sihlpark Schindellegi,Accommodation,hotels,"In the scenic recreation area between the city of Zurich, Lake Zurich, and the place of pilgrimage, Einsiedeln, guests can find peace and quiet.
",Hotel,Hotel,47.167842,8.727515,Chaltenbodenstrasse 16,8834,Schindellegi,,,9,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.956123823164671,"Luxury Leisure, Business Traveler",any,0.7,32
ZH_556730,Roggenstock Lodge,Roggenstock Lodge,Accommodation,hotels,The perfect place to stay for outdoor enthusiasts and families in the nature region of Hoch-Ybrig.,Hotel,Hotel,47.039635,8.782012,Tschalunstrasse 1,8843,Oberiberg,,,8,real_zurich,Zurich Tourism JSON,"Hotels, Apartments",medium,6.0,7.077325289407999,"Luxury Leisure, Business Traveler",any,0.7,33
ZH_555546,Dormero Hotel Zürich Airport,Dormero Hotel Zürich Airport,Accommodation,hotels,The urban four-star superior hotel near Zurich Airport offers comfortable rooms.,Hotel,Hotel,47.432924,8.564518,Schaffhauserstrasse 101,8152,Opfikon,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,7.117516879378943,"Luxury Leisure, Business Traveler",any,0.7,34
ZH_555537,Hotel Landhus,Hotel Landhus,Accommodation,hotels,"This hotel is located in the easily accessible Zürich-Seebach quarter, just a few minutes from the exhibition center, airport, and Zurich City.",Hotel,Hotel,47.421628,8.54916,Katzenbachstrasse 10,8052,Zürich,,,0,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.740153635479507,"Luxury Leisure, Business Traveler",any,0.5,35
ZH_555440,Chalet Elvira,Chalet Elvira,Experiences,hotels,"Overlooking Lake Zurich, the Chalet Elvira in Witikon invites guests to relax and unwind. ",LodgingBusiness,HolidayHouse,47.35872,8.601911,Oetlisbergstrasse 80,8053,Zürich,,,5,real_zurich,Zurich Tourism JSON,Vacation Apartments,medium,4.0,3.687382030677393,"Luxury Leisure, Family/Group",sunny,0.7,36
ZH_555351,Saint Georges Hotel ,Saint Georges Hotel ,Accommodation,hotels,"The Saint Georges Hotel is located in the heart of the popular Kreis 4 district, near the leafy Hallwylplatz.",Hotel,Hotel,47.37073,8.528126,Weberstrasse 11,8004,Zürich,,,14,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.034413073615322,"Luxury Leisure, Business Traveler",any,0.7,37
ZH_555124,Pop Up Hotel Krone Zurich,Pop Up Hotel Krone Zurich,Accommodation,hotels,Zurich’s first pop-up hotel lies in a central location between the Old Town and the Main Station. ,Hotel,Hotel,47.373791,8.543056,Limmatquai 88,8001,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.442159263629176,"Luxury Leisure, Business Traveler",any,0.7,38
ZH_554383,Hotel Tivoli Schlieren,Hotel Tivoli Schlieren,Accommodation,hotels,"This business hotel is located in Schlieren, not far from the up-and-coming Zürich-West quarter.",Hotel,Hotel,47.398267,8.452421,Zürcherstrasse 26,8952,Schlieren,,,0,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.856365984975043,"Luxury Leisure, Business Traveler",any,0.5,39
ZH_553318,Hotel Boldern,Hotel Boldern,Accommodation,hotels,"Nestling amidst a magnificent landscape, this cozy hotel is located in the municipality of Männedorf, which is rural yet still close to the city. ",Hotel,Hotel,47.262218,8.701957,Boldernstrasse 83,8708,Männedorf,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.0928917636274695,"Luxury Leisure, Business Traveler",any,0.7,40
ZH_548948,Montmartre,Montmartre,Accommodation,hotels,"Personal, individual, and elegant: this is how the Café et Bistro Montmartre presents itself in the heart of Zurich’s Old Town.",Hotel,Hotel,47.371563,8.541244,Weggengasse 4,8001,Zürich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.988424584267049,"Luxury Leisure, Business Traveler",any,0.7,41
ZH_544339,Sorell Hotel St. Peter,Sorell Hotel St. Peter,Accommodation,hotels,Urban charm in the heart of Zurich − that is what the Sorell Hotel St. Peter promises.,Hotel,Hotel,47.370852,8.540518,In Gassen 10,8001,Zürich,,,10,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,4.882532450676525,"Luxury Leisure, Business Traveler",any,0.7,42
ZH_541450,Boutique Hotel Josef,Boutique Hotel Josef,Accommodation,hotels,"The charming boutique hotel, Hotel Josef, is located in the heart of the up-and-coming Kreis 5 district, just a few minutes from Zurich Main Station. ",Hotel,Hotel,47.380593,8.534158,Josefstrasse 13,8005,Zürich,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.982368964989077,"Luxury Leisure, Business Traveler",any,0.7,43
ZH_536260,Hotel Felix,Hotel Felix,Accommodation,hotels,"The comfortable city hotel, Hotel Felix, is located in the heart of Zurich’s bustling Niederdorf quarter and just a short walk from the world-renowned Bahnhofstrasse.",Hotel,Hotel,47.375211,8.54445,Zähringerstrasse 25,8001,Zürich,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.421071955840041,"Luxury Leisure, Business Traveler",any,0.7,44
ZH_525922,CitizenM Talacker Hotel,Hotel citizenM Talacker,Accommodation,hotels,"The citizenM hotel is located in the heart of Zurich, where international business is concluded and where the old merges with the new.",Hotel,Hotel,47.372009,8.535396,Talacker 42,8001,Zürich,,,6,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.390053482449557,"Luxury Leisure, Business Traveler",any,0.7,45
ZH_391469,Alex – Lakefront Lifestyle Hotel & Suites,Alex – Lakefront Lifestyle Hotel & Suites,Accommodation,hotels,"The Alex Lake Zürich is located directly on Lake Zurich, only 20 minutes from the city center.",Hotel,Hotel,47.30121,8.562575,Seestrasse 182,8800,Thalwil,,,7,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.548106582614587,"Luxury Leisure, Business Traveler",any,0.7,46
ZH_349359,Hotel Allegra Lodge – welcome hotels,Hotel Allegra Lodge – welcome hotels,Accommodation,hotels,"Situated in Zürich-Kloten, the Hotel Allegra Lodge is the perfect place to stay for all those attending business meetings or trade fairs in Zurich.",Hotel,Hotel,47.448961,8.585949,Hamelirainstrasse 5,8302,Kloten,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.048163250826747,"Luxury Leisure, Business Traveler",any,0.7,47
ZH_335972,B&B Hotel Zürich East Wallisellen,B&B Hotel Zürich Osten Wallisellen,Accommodation,hotels,"Located between Zurich Airport and the city, the B&B Hotel Zürich East Wallisellen is the ideal place to stay for urban travelers and business nomads.",Hotel,Hotel,47.408504,8.591947,Richtistrasse 6,8304,Wallisellen,,,8,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,6.112104670423871,"Luxury Leisure, Business Traveler",any,0.7,48
ZH_330655,Signau House and Garden,Signau House and Garden,Accommodation,hotels,"The boutique hotel, Signau House & Garden, lies in a quiet area just a few minutes’ walk from Zurich’s Bellevue quarter.",Hotel,Hotel,47.36277,8.55618,Signaustrasse 6,8008,Zürich,,,26,real_zurich,Zurich Tourism JSON,Hotels,medium,6.0,5.243650693261265,"Luxury Leisure, Business Traveler",any,0.7,49
